  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      402        4.906        5.965            6      831.465      798.424      320.989
      403        4.897        5.992            3      837.330      856.790      324.489
      404        5.039        5.884            4      811.798      774.352      347.899
      405        4.793        5.757            5      801.291      749.659      313.526
      406        4.769        5.577            4      782.352      726.167      324.339
      407        4.774        5.863            3      849.863      825.084      316.171
      408        4.830        5.962            4      833.286      795.118      333.505
      409        4.851        5.791            3      806.224      678.054      305.636
      410        4.935        5.799            2      804.866      670.245      344.118
      411        4.893        5.897            2      807.580      679.941      340.542
      412        4.833        5.903            3      817.416      703.860      335.330
      413        5.083        5.773            2      804.447      688.486      331.447
      414        5.097        5.817            2      803.932      675.011      352.263
      415        5.077        5.810            2      808.700      661.479      340.360
      416        4.929        5.891            2      824.082      712.563      326.410
      417        4.808        5.854            2      814.383      708.284      359.705
      418        4.932        5.898            3      839.849      765.331      347.477
      419        4.838        5.916            2      823.229      798.159      342.538
      420        4.641        5.864            5      832.408      785.468      291.977
      421        4.767        6.061            4      819.735      704.491      292.638
      422        5.209        6.048            4      859.966      769.861      325.685
      423        4.937        5.944            5      829.677      748.118      301.029
      424        4.988        5.919            3      828.606      785.255      323.271
      425        4.975        5.827            2      833.017      829.324      338.095
      426        4.757        5.826            5      803.171      690.312      297.326
      427        4.810        5.923            3      822.096      755.477      318.110
      428        4.841        5.930            2      828.794      753.802      328.587
      429        4.850        5.919            4      819.517      736.863      316.932
      430        4.920        5.897            4      849.288      775.489      292.072
      431        5.016        5.976            3      819.406      724.066      307.520
      432        4.743        6.012            2      828.025      757.434      329.154
      433        4.744        6.032            3      835.938      742.174      327.041
      434        4.688        6.033            4      824.526      748.531      306.388
      435        4.853        5.827            3      832.311      750.215      324.855
      436        4.892        5.895            2      825.065      750.388      364.608
      437        4.641        5.808            3      829.209      719.942      362.093
      438        4.910        5.990            2      834.751      742.290      335.786
      439        4.575        5.938            2      854.732      773.394      353.638
      440        4.866        5.952            3      826.592      719.612      319.762
      441        4.873        5.733            3      806.945      744.883      322.472
      442        4.851        5.856            3      834.526      739.872      318.096
      443        4.786        5.788            3      795.952      697.371      318.549
      444        5.049        5.827            4      812.896      715.661      305.608
